age,tenth_percentage,twelfth_or_diploma_percentage,math_score,programming_score,communication_score,logical_reasoning_score,creativity_score,leadership_score,teamwork_score,problem_solving_score,coding_interest,design_interest,data_interest,business_interest,security_interest,cloud_interest,certifications_count,project_count,gender_Female,gender_Male,gender_Other,preferred_work_type_Analytical,preferred_work_type_Creative,preferred_work_type_Management,preferred_work_type_Technical,preferred_domain_AI-ML,preferred_domain_Cloud,preferred_domain_Data,preferred_domain_Security,preferred_domain_Web,personality_type_Analytical,personality_type_Creative,personality_type_Leader,personality_type_Logical,internship_experience_No,internship_experience_Yes,favorite_subject_DBMS,favorite_subject_Math,favorite_subject_Python,favorite_subject_Statistics,favorite_subject_Web
21,76.18,63.34,93,48,64,71,72,31,87,81,5,1,8,3,2,3,1,5,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
17,57.24,91.33,75,77,94,99,50,76,72,100,10,2,7,6,4,4,2,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
21,88.87,74.06,65,56,79,94,54,90,59,96,8,4,6,10,1,5,1,1,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
18,89.35,71.83,85,73,45,70,43,41,60,95,8,5,5,1,6,2,6,2,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True
21,68.19,87.89,95,77,69,79,75,41,99,82,2,1,8,2,3,5,4,3,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False
18,78.86,92.66,100,97,98,84,37,67,85,92,10,1,3,7,3,6,1,9,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
21,72.0,85.69,67,84,100,67,56,68,53,70,10,4,7,4,4,4,2,4,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True
17,75.15,93.61,61,44,46,64,88,36,96,81,4,1,10,1,5,5,1,2,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False
18,70.61,60.05,41,65,53,80,79,60,92,77,1,10,4,6,6,5,3,5,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
20,77.43,73.18,64,51,41,62,86,74,61,80,1,4,5,2,5,8,3,3,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
20,82.03,73.44,71,47,81,55,72,65,76,75,4,2,1,1,3,4,2,2,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False
21,66.82,88.76,44,54,90,60,72,85,52,83,5,2,4,9,4,5,1,8,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False
21,76.08,63.17,75,89,90,77,54,85,56,79,10,1,2,6,1,5,1,3,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True
20,87.22,59.73,93,89,68,100,51,41,100,88,5,7,3,4,4,6,3,1,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
19,96.77,78.41,52,47,79,64,79,42,66,55,1,8,3,2,3,1,5,1,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
19,84.87,68.34,79,92,85,79,40,40,62,85,7,3,6,1,6,2,3,4,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
18,89.14,81.03,85,87,94,96,64,35,83,63,3,1,7,1,10,6,0,3,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False
20,90.82,64.72,64,66,52,87,80,63,71,75,2,3,2,2,1,10,1,3,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
20,81.07,64.55,55,48,66,55,91,38,96,77,4,2,5,5,3,1,3,1,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
21,98.55,94.91,73,86,77,95,69,40,76,98,10,4,3,5,5,7,3,7,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
20,72.72,72.99,44,46,86,49,59,54,70,86,1,6,4,6,4,6,1,4,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
22,74.53,74.41,72,77,82,84,58,75,82,100,10,1,5,1,1,7,2,3,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
19,75.42,80.48,84,87,78,76,70,50,80,82,8,1,2,5,4,5,1,3,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
19,65.12,80.58,46,46,62,80,80,57,77,81,4,9,2,3,4,3,2,5,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
20,81.49,83.9,75,100,66,72,71,35,79,100,6,2,10,3,4,1,1,3,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False
22,83.96,86.02,74,60,89,75,83,50,75,85,3,1,10,6,5,3,1,0,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
19,67.46,90.42,97,84,43,97,70,50,94,90,10,1,5,8,5,6,3,2,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True
17,74.27,75.26,88,67,54,70,35,49,51,87,10,2,3,4,3,1,3,3,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True
19,86.51,78.88,49,63,56,50,52,78,62,85,1,4,1,2,6,5,2,6,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
18,71.23,98.58,52,59,65,77,73,38,89,70,1,10,1,6,2,1,2,3,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
22,93.42,88.63,51,72,68,88,100,50,89,69,2,8,5,4,7,1,2,4,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
19,80.12,55.5,60,84,65,88,44,77,64,91,10,5,3,2,8,2,0,4,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True
17,85.54,81.13,80,100,81,100,52,55,70,96,7,3,4,6,3,3,2,3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
19,87.67,86.39,90,74,59,75,48,44,89,72,10,1,2,7,2,5,0,2,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False
20,87.73,80.67,88,43,79,53,45,93,69,82,4,2,8,7,1,4,1,1,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False
19,79.84,70.99,98,89,89,87,83,50,51,84,8,2,1,3,6,4,1,2,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
20,81.36,75.59,94,80,65,91,63,50,74,95,7,1,1,4,2,3,0,1,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
18,78.91,78.9,97,92,72,94,67,48,58,95,10,4,1,3,1,3,2,1,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
19,85.23,88.27,100,98,92,99,57,35,88,73,10,3,1,1,7,6,5,4,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
19,81.42,73.64,73,40,86,59,96,38,66,74,2,10,1,8,3,3,2,3,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
20,76.99,76.69,68,67,66,99,64,41,53,80,10,3,1,4,1,5,2,4,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
25,82.52,97.4,100,93,79,84,60,61,55,98,7,3,7,4,7,3,0,1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
19,78.98,70.93,86,86,90,94,60,31,80,86,9,3,1,1,3,2,5,2,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False
19,82.87,83.15,94,77,93,100,45,68,79,93,2,1,6,1,4,10,1,6,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
23,75.52,78.74,100,73,87,82,63,46,91,86,3,2,9,1,1,5,1,6,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False
20,84.11,57.09,72,87,84,76,66,64,94,69,10,3,4,8,2,7,3,4,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
24,77.31,67.42,87,95,65,68,42,67,69,86,10,1,1,1,6,7,1,5,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False
17,78.96,72.91,78,82,66,93,49,48,52,76,9,4,4,1,5,3,0,4,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
22,80.93,85.34,60,61,58,80,96,67,66,89,3,10,5,7,5,1,4,5,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
17,71.16,71.68,91,71,85,86,60,72,71,78,2,5,9,5,6,4,1,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False
18,76.4,60.72,71,55,81,69,80,95,69,52,4,3,10,9,4,4,0,4,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False
22,80.21,87.29,64,66,52,89,83,63,56,84,3,10,3,5,3,2,4,4,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
18,69.82,67.26,54,51,85,48,81,37,51,59,2,5,1,5,1,6,1,1,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False
18,91.75,77.02,80,84,49,85,46,58,89,63,4,4,3,2,7,10,3,4,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
19,74.01,82.19,93,77,69,84,79,38,54,70,9,3,3,4,2,4,3,4,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True
19,75.43,87.11,84,96,50,100,72,70,72,85,10,2,6,5,2,3,1,2,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
21,76.52,87.55,58,47,74,62,84,45,73,73,6,4,2,3,5,5,3,3,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False
20,76.79,87.74,73,87,73,76,65,65,64,81,5,7,10,3,6,4,3,4,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False
17,75.79,82.92,56,35,94,72,62,76,67,84,3,6,10,4,7,5,3,2,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False
18,89.86,68.41,93,75,71,89,78,39,57,100,9,3,5,8,1,7,3,5,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
17,89.55,82.41,88,98,94,97,63,67,96,73,9,3,3,4,3,4,2,2,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
17,84.13,69.16,79,93,53,80,46,35,100,97,2,1,1,1,6,10,1,3,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False
18,84.05,55.2,94,87,73,78,54,67,91,71,10,5,2,4,6,3,0,2,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False
21,76.48,64.92,90,85,55,71,53,76,66,92,10,4,8,1,3,4,3,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
22,64.39,69.11,66,54,69,91,41,63,49,100,3,2,7,2,4,1,1,3,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
19,70.78,91.27,92,76,82,87,51,35,58,71,2,6,7,1,4,6,1,6,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
20,88.41,66.32,68,82,86,77,78,75,76,86,2,10,3,7,4,6,0,5,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
20,71.56,87.53,84,75,55,98,72,67,85,88,10,3,6,3,4,3,1,6,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True
20,74.61,80.48,68,66,74,79,84,74,81,65,3,10,5,4,5,3,1,2,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
21,98.12,80.57,73,64,77,100,60,66,85,100,1,4,4,3,10,4,0,1,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False
17,74.38,65.98,71,76,88,74,62,61,83,78,2,3,8,7,3,3,3,1,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
17,93.64,77.85,72,73,56,85,55,75,69,98,1,5,8,7,10,5,2,2,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False
19,72.5,94.06,90,85,64,82,79,45,66,70,4,6,1,4,10,1,0,2,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False
20,94.1,71.26,72,73,58,71,68,63,59,71,2,1,6,3,5,10,4,3,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False
17,70.76,79.29,56,70,82,69,64,35,99,83,1,1,10,2,5,6,0,4,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
17,67.2,79.21,42,63,73,61,65,49,100,84,3,3,4,1,1,1,0,4,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
20,72.02,76.69,92,63,53,100,57,72,64,81,1,4,8,3,5,10,2,5,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
21,88.91,75.0,78,87,93,76,80,67,81,91,5,4,8,6,2,5,3,5,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
18,73.9,74.43,60,46,81,69,57,81,97,65,3,1,6,2,3,5,1,2,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
22,81.6,74.02,76,87,40,95,74,50,70,91,1,2,9,1,3,1,3,3,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False
20,76.32,62.21,76,66,61,90,66,51,49,90,10,7,3,1,6,4,3,7,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
18,75.63,66.16,69,61,65,88,81,60,83,74,6,9,1,1,3,2,4,3,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
19,68.16,81.41,62,82,85,75,45,46,80,66,1,4,2,1,1,10,2,3,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
17,76.82,73.61,69,70,46,78,43,43,80,75,4,5,5,4,4,10,5,4,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False
17,87.59,68.47,78,70,92,60,73,51,70,76,3,1,7,4,4,2,1,2,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
19,77.24,60.34,38,74,73,72,100,56,98,70,1,10,7,2,7,2,0,6,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
17,79.72,71.14,61,67,53,85,43,37,88,83,3,6,3,3,3,7,5,3,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False
17,62.27,87.77,77,71,53,76,77,39,55,71,1,5,7,6,1,4,1,1,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
20,65.56,75.31,65,52,80,65,100,66,66,96,4,10,1,7,5,4,1,4,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
18,79.5,61.74,45,56,81,54,53,75,100,62,7,6,6,4,4,4,0,0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False
17,88.76,82.1,71,46,79,82,68,79,83,52,3,1,7,7,2,1,4,1,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False
21,69.86,87.07,84,84,61,79,55,35,66,84,5,4,6,3,1,3,1,5,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
18,69.02,69.5,65,54,92,72,90,58,72,62,3,8,2,1,2,4,0,5,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
18,64.5,72.92,60,55,93,67,83,44,71,58,4,9,2,3,5,7,2,5,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
