student_id,age,gender,tenth_percentage,twelfth_or_diploma_percentage,math_score,programming_score,communication_score,logical_reasoning_score,creativity_score,leadership_score,teamwork_score,problem_solving_score,coding_interest,design_interest,data_interest,business_interest,security_interest,cloud_interest,preferred_work_type,preferred_domain,personality_type,certifications_count,project_count,internship_experience,favorite_subject,career_label
S0070,21,Other,69.08,91.59,71,40,95,67,84,74,54,87,1,6,9,3,4,4,Analytical,Data,Analytical,1,5,Yes,DBMS,Associate Data Analyst
S0022,19,Male,72.96,82.6,83,70,67,56,83,74,100,81,5,5,8,3,6,5,Analytical,Data,Analytical,2,4,No,Statistics,Junior Data Scientist
S0328,18,Female,80.57,78.89,92,87,58,84,58,60,80,98,7,1,6,4,6,4,Technical,Web,Logical,3,3,Yes,Web,Junior Web Developer
S0848,19,Male,83.6,81.75,93,96,54,72,46,77,99,80,9,6,1,6,3,5,Technical,Web,Analytical,1,5,Yes,Web,Quality Assurance Tester
S0725,17,Female,92.24,73.9,53,45,76,58,82,78,85,58,4,5,1,6,2,3,Creative,AI-ML,Creative,1,4,No,Python,UI/UX Designer
S0743,21,Female,85.82,63.51,57,40,67,58,89,77,59,62,5,7,6,5,4,6,Creative,Web,Creative,1,4,No,Web,UI/UX Designer
S0384,19,Male,82.3,66.38,58,44,87,60,84,40,52,78,1,8,5,3,4,4,Creative,Web,Creative,1,5,Yes,Web,Frontend Developer
S0562,20,Female,89.12,69.46,85,73,78,87,41,40,78,72,7,6,2,6,1,3,Technical,Web,Logical,1,1,Yes,DBMS,Full Stack Developer
S0954,19,Other,86.27,60.24,91,65,67,78,37,80,75,72,3,5,5,4,6,9,Technical,Cloud,Logical,0,5,Yes,DBMS,Junior DevOps Engineer
S0446,18,Male,78.16,85.01,73,79,53,75,36,50,81,91,7,1,4,4,5,6,Technical,Web,Logical,4,1,No,DBMS,Backend Developer
S0508,20,Female,96.33,59.69,62,68,85,76,52,32,98,78,8,2,2,5,4,3,Technical,Web,Logical,2,0,No,Web,Full Stack Developer
S0465,21,Male,78.24,85.06,91,86,47,74,36,60,90,84,9,6,1,1,2,2,Technical,Web,Logical,0,5,Yes,DBMS,Backend Developer
S0009,19,Male,81.67,76.66,49,43,60,47,37,71,57,72,3,2,1,3,5,4,Analytical,Security,Analytical,2,2,No,Python,Junior Data Scientist
S0096,20,Female,68.49,92.0,90,57,60,90,82,41,75,95,3,3,8,1,5,2,Analytical,Data,Analytical,0,5,Yes,DBMS,Associate Data Analyst
S0595,18,Male,79.58,72.66,71,99,58,72,41,32,99,93,4,1,1,1,5,9,Technical,Cloud,Logical,1,4,No,DBMS,Cloud Operations Engineer
S0846,22,Male,85.26,83.87,99,73,81,58,39,67,51,76,8,2,6,2,6,1,Technical,Web,Analytical,2,4,No,Web,Quality Assurance Tester
S0507,18,Female,77.83,72.01,80,100,80,83,36,40,66,85,8,1,6,2,2,2,Technical,Web,Logical,1,5,Yes,Python,Full Stack Developer
S0420,20,Male,80.61,94.01,64,59,68,69,77,42,86,88,4,4,6,6,1,6,Creative,Web,Creative,5,6,Yes,Web,Frontend Developer
S0105,17,Male,81.37,74.55,72,51,53,74,79,69,56,99,4,1,8,3,3,1,Analytical,Data,Analytical,0,6,Yes,Statistics,Associate Data Analyst
S0276,17,Male,80.04,82.31,79,80,79,96,74,48,61,91,3,5,9,2,1,3,Technical,AI-ML,Logical,3,3,No,Math,AI/ML Engineer Trainee
S0204,19,Male,69.22,86.92,73,85,70,70,84,32,81,100,7,3,3,2,3,1,Technical,AI-ML,Logical,2,2,No,Python,Junior ML Engineer
S0320,22,Female,69.92,89.36,89,80,80,71,69,49,63,92,7,3,3,1,4,6,Technical,Web,Logical,2,6,Yes,Python,Junior Web Developer
S0169,17,Female,74.49,84.88,70,98,93,97,36,65,65,93,8,4,5,2,6,6,Technical,AI-ML,Logical,3,3,No,Python,Junior ML Engineer
S0774,18,Male,81.97,88.85,63,71,75,62,47,57,79,95,8,3,4,3,5,2,Technical,Web,Analytical,0,1,No,Python,Quality Assurance Tester
S0582,17,Female,91.24,71.32,84,73,54,84,37,78,61,71,4,2,4,3,2,9,Technical,Cloud,Logical,3,0,No,DBMS,Cloud Operations Engineer
S0855,19,Female,78.31,56.6,60,78,84,83,81,79,86,74,5,2,5,10,5,1,Management,Data,Leader,1,3,No,Statistics,Junior Business Analyst
S0257,18,Female,77.56,75.28,86,85,64,70,56,44,56,80,6,3,9,1,1,2,Technical,AI-ML,Logical,3,4,No,Math,AI/ML Engineer Trainee
S0695,17,Male,67.48,82.66,75,88,78,89,84,61,86,90,4,3,5,4,8,5,Technical,Security,Logical,2,3,No,DBMS,Security Analyst Trainee
S0280,18,Male,88.62,85.08,62,98,67,70,51,74,75,84,5,5,8,4,2,4,Technical,AI-ML,Logical,1,5,Yes,Python,AI/ML Engineer Trainee
S0620,21,Male,80.97,82.93,90,95,54,91,66,72,92,73,1,3,4,1,1,7,Technical,Cloud,Logical,2,4,No,Python,Cloud Operations Engineer
S1030,18,Other,85.97,72.69,79,65,80,82,58,48,99,84,4,5,10,6,1,2,Technical,Data,Logical,3,4,No,DBMS,Database Administrator
S0019,20,Other,79.83,99.0,94,56,80,78,42,39,70,72,4,3,10,1,5,1,Analytical,Data,Analytical,2,2,No,Statistics,Junior Data Scientist
S0949,19,Female,80.17,73.19,66,54,45,54,81,68,62,85,1,6,6,4,3,4,Technical,Cloud,Logical,3,1,No,Python,Junior DevOps Engineer
S0827,21,Female,74.05,71.78,87,93,95,76,46,60,62,77,7,1,2,6,5,2,Technical,Web,Analytical,3,3,No,Python,Quality Assurance Tester
S0995,20,Female,92.35,72.44,66,88,58,85,49,43,70,73,1,1,9,2,2,3,Technical,Data,Logical,1,1,Yes,DBMS,Database Administrator
S0459,19,Female,89.01,75.89,75,68,77,95,46,75,97,70,10,1,2,3,2,5,Technical,Web,Logical,3,2,No,Python,Backend Developer
S0512,18,Female,70.61,84.67,89,76,47,96,41,52,60,84,9,5,5,1,2,4,Technical,Web,Logical,2,5,Yes,Web,Full Stack Developer
S0289,18,Male,85.34,83.62,72,100,75,82,68,34,80,95,4,6,7,2,1,2,Technical,AI-ML,Logical,1,3,No,Math,AI/ML Engineer Trainee
S0417,21,Female,76.2,77.04,77,74,76,69,85,44,65,66,1,9,4,6,2,5,Creative,Web,Creative,0,2,No,Web,Frontend Developer
S0041,19,Male,68.62,72.22,84,49,47,84,72,48,82,100,1,1,9,6,2,5,Analytical,Data,Analytical,0,2,Yes,Statistics,Junior Data Scientist
S0059,18,Male,77.29,70.76,62,70,95,58,69,65,79,79,4,4,9,5,1,2,Analytical,Data,Analytical,3,1,No,Python,Junior Data Scientist
S0466,19,Other,71.1,79.6,62,88,77,83,70,74,53,80,9,4,6,4,5,2,Technical,Web,Logical,1,4,No,Python,Backend Developer
S0221,17,Female,79.57,75.63,72,78,82,81,59,76,85,90,6,6,10,6,1,4,Technical,AI-ML,Logical,2,8,Yes,Python,AI/ML Engineer Trainee
S0347,19,Male,78.09,67.98,68,97,54,96,36,74,71,71,9,5,3,4,5,2,Technical,Web,Logical,1,2,Yes,Python,Junior Web Developer
S0326,21,Female,67.7,85.49,88,82,85,71,62,73,56,70,8,2,6,4,3,6,Technical,Web,Logical,0,1,No,Web,Junior Web Developer
S0068,18,Female,93.64,89.26,97,77,53,64,83,80,55,98,6,4,10,6,3,1,Analytical,Data,Analytical,3,2,Yes,DBMS,Associate Data Analyst
S0617,20,Male,94.75,96.21,84,67,57,88,57,65,91,72,1,3,1,6,3,9,Technical,Cloud,Logical,2,2,No,Python,Cloud Operations Engineer
S0173,21,Male,90.89,83.96,84,94,58,73,77,51,95,96,9,6,4,4,5,1,Technical,AI-ML,Logical,1,3,No,Python,Junior ML Engineer
S0401,21,Male,88.81,91.83,51,67,76,80,93,53,86,71,3,7,6,6,5,2,Creative,Web,Creative,1,4,Yes,Web,Frontend Developer
S0885,19,Male,81.29,65.78,47,58,89,57,48,80,97,64,6,5,2,4,3,4,Management,Security,Leader,0,0,No,Math,Junior Business Analyst
S0390,19,Female,65.17,82.61,78,67,84,81,98,59,72,77,2,10,6,6,1,4,Creative,Web,Creative,1,2,No,Web,Frontend Developer
S0820,17,Female,77.89,78.24,72,80,68,66,67,67,90,99,9,6,2,6,1,3,Technical,Web,Analytical,3,2,Yes,Python,Quality Assurance Tester
S0893,19,Male,82.77,87.6,50,80,95,85,77,96,83,75,6,2,6,7,1,1,Management,Data,Leader,1,8,Yes,Statistics,Junior Business Analyst
S1043,20,Female,74.93,82.0,63,86,90,75,68,38,74,90,1,5,7,3,6,5,Technical,Data,Logical,4,3,No,DBMS,Database Administrator
S0964,21,Male,70.87,65.59,84,80,93,82,54,60,78,84,5,6,3,1,4,9,Technical,Cloud,Logical,1,2,No,Python,Junior DevOps Engineer
S0982,19,Male,77.17,74.08,73,99,78,88,50,68,54,77,1,1,4,3,4,10,Technical,Cloud,Logical,1,1,No,Python,Junior DevOps Engineer
S0631,17,Female,87.11,97.22,88,73,87,71,70,51,96,84,1,2,5,4,3,10,Technical,Cloud,Logical,1,1,No,Python,Cloud Operations Engineer
S0082,19,Female,72.12,88.16,84,63,88,77,40,47,90,100,6,4,7,4,6,6,Analytical,Data,Analytical,2,4,No,DBMS,Associate Data Analyst
S0152,19,Female,77.0,69.74,63,90,60,89,36,41,88,86,8,5,5,1,2,2,Technical,AI-ML,Logical,1,1,No,Python,Junior ML Engineer
S0558,22,Male,79.13,95.39,64,66,92,94,84,70,68,88,7,4,6,1,2,3,Technical,Web,Logical,4,4,No,Python,Full Stack Developer
S1018,21,Male,85.35,83.52,63,73,45,70,58,70,60,79,1,2,9,5,2,3,Technical,Data,Logical,1,6,Yes,DBMS,Database Administrator
S0166,20,Female,81.06,88.41,60,87,70,75,74,80,69,96,10,6,6,5,4,1,Technical,AI-ML,Logical,0,1,Yes,Math,Junior ML Engineer
S0021,20,Female,85.39,86.84,60,64,57,58,62,56,80,99,2,2,9,6,6,6,Analytical,Data,Analytical,3,5,Yes,Math,Junior Data Scientist
S0729,19,Female,79.08,75.29,80,52,49,61,80,63,83,78,3,7,1,5,5,6,Creative,Web,Creative,1,3,No,Web,UI/UX Designer
S0916,21,Male,71.68,85.68,48,52,93,65,80,77,53,84,6,2,1,8,2,4,Management,Data,Leader,2,6,Yes,Statistics,Junior Business Analyst
S0500,17,Female,81.55,79.14,74,86,95,80,69,49,71,99,10,5,3,2,6,5,Technical,Web,Logical,1,5,Yes,DBMS,Full Stack Developer
S0272,21,Male,81.4,90.84,82,67,85,96,82,64,90,75,2,3,10,2,3,5,Technical,AI-ML,Logical,1,3,No,Math,AI/ML Engineer Trainee
S0372,19,Female,81.48,78.48,48,56,50,80,79,42,88,82,5,10,1,1,5,6,Creative,Web,Creative,2,3,Yes,Web,Frontend Developer
S0603,20,Male,80.31,57.49,93,98,77,75,63,50,68,97,2,4,5,6,5,7,Technical,Cloud,Logical,2,6,Yes,Python,Cloud Operations Engineer
S0448,21,Female,66.69,79.31,70,99,84,71,36,55,89,86,10,6,5,4,2,5,Technical,Web,Logical,1,5,Yes,Python,Backend Developer
S0623,21,Other,74.2,63.34,62,52,94,59,61,73,70,76,3,4,3,3,6,5,Technical,Security,Logical,4,0,No,Python,Cloud Operations Engineer
S0734,20,Other,86.79,75.39,48,61,54,66,92,31,72,60,4,10,5,5,6,6,Creative,Web,Creative,0,8,Yes,Web,UI/UX Designer
S0319,20,Female,78.57,76.72,86,92,45,95,42,59,57,71,10,2,5,6,5,1,Technical,Web,Logical,3,3,No,Python,Junior Web Developer
S0348,18,Male,79.8,75.64,96,77,93,100,41,54,69,98,9,5,5,1,5,4,Technical,Web,Logical,0,2,No,Python,Junior Web Developer
S0510,20,Female,70.88,80.64,82,78,87,70,80,79,53,78,10,2,1,3,4,2,Technical,Web,Logical,2,2,No,Web,Full Stack Developer
S0350,18,Female,78.98,81.61,74,67,48,74,39,45,92,84,8,4,2,4,1,1,Technical,Web,Logical,2,6,Yes,Python,Junior Web Developer
S0062,18,Female,84.43,57.31,47,49,61,63,71,76,90,88,6,3,3,2,1,3,Analytical,AI-ML,Analytical,1,3,No,Web,Associate Data Analyst
S0709,17,Female,67.52,68.92,46,54,58,77,89,79,68,69,1,10,6,4,4,3,Creative,Web,Creative,0,3,No,Web,UI/UX Designer
S0680,19,Male,86.9,82.59,83,72,45,71,77,69,65,99,5,5,3,3,9,5,Technical,Security,Logical,3,4,No,DBMS,Security Analyst Trainee
S0255,19,Female,83.06,73.16,62,68,76,98,83,36,90,99,3,2,8,5,1,5,Technical,AI-ML,Logical,1,5,Yes,Python,AI/ML Engineer Trainee
S0431,19,Male,82.57,73.66,99,76,88,81,56,41,52,71,10,6,4,6,2,1,Technical,Web,Logical,3,2,No,Python,Backend Developer
S0131,19,Male,91.47,81.61,65,97,63,100,78,69,75,70,7,5,2,6,2,1,Technical,AI-ML,Logical,4,7,Yes,Math,Junior ML Engineer
S0216,21,Female,80.05,77.55,67,88,49,77,58,71,87,72,4,4,7,3,4,5,Technical,AI-ML,Logical,2,3,No,Math,AI/ML Engineer Trainee
S0171,18,Male,80.92,71.97,92,68,55,79,60,51,67,89,7,1,2,5,3,1,Technical,AI-ML,Logical,1,3,No,Math,Junior ML Engineer
S0383,19,Female,75.94,97.34,82,78,74,82,77,56,79,80,6,8,6,6,2,3,Creative,Web,Creative,1,2,No,Web,Frontend Developer
S0802,17,Female,79.72,64.16,77,89,63,77,63,43,59,71,10,1,2,6,5,1,Technical,Web,Analytical,1,5,Yes,Web,Quality Assurance Tester
S0005,18,Male,94.73,74.85,77,49,65,64,65,54,63,82,5,1,8,1,1,5,Analytical,Data,Analytical,1,1,Yes,Python,Junior Data Scientist
S0299,19,Female,89.09,64.83,67,65,71,99,75,55,92,83,7,4,4,5,1,4,Technical,Web,Logical,3,1,No,Web,Junior Web Developer
S1023,20,Male,80.65,89.77,86,93,77,83,71,58,98,76,1,1,10,4,4,5,Technical,Data,Logical,2,1,Yes,DBMS,Database Administrator
S1049,21,Female,80.79,77.12,73,90,93,90,59,37,88,89,5,2,9,6,3,5,Technical,Data,Logical,3,1,Yes,DBMS,Database Administrator
S1052,21,Male,87.45,59.67,94,83,48,92,84,42,66,93,1,4,8,3,5,4,Technical,Data,Logical,3,4,No,DBMS,Database Administrator
S0121,19,Female,88.6,71.21,68,48,62,67,83,31,57,90,2,2,8,5,3,5,Analytical,Data,Analytical,2,1,No,Statistics,Associate Data Analyst
S0124,18,Female,87.28,86.05,49,70,48,67,78,45,50,89,3,5,3,1,5,3,Analytical,AI-ML,Analytical,2,5,Yes,Python,Associate Data Analyst
S0669,19,Female,90.57,83.36,85,76,63,97,74,32,62,100,2,1,4,3,10,1,Technical,Security,Logical,3,6,Yes,DBMS,Security Analyst Trainee
S0750,19,Female,72.0,80.01,43,62,77,49,77,30,78,82,6,3,6,3,5,1,Creative,AI-ML,Creative,3,1,No,Statistics,UI/UX Designer
S0523,19,Male,71.79,80.63,67,86,55,87,69,45,58,86,8,1,2,4,5,3,Technical,Web,Logical,1,2,Yes,Python,Full Stack Developer
S0602,20,Other,80.35,58.93,77,71,59,88,42,64,57,77,2,6,6,4,2,7,Technical,Cloud,Logical,1,5,Yes,DBMS,Cloud Operations Engineer
S0659,20,Female,78.99,83.55,95,91,49,88,55,35,60,93,3,2,5,5,9,6,Technical,Security,Logical,0,2,No,DBMS,Security Analyst Trainee
S0161,19,Female,92.75,82.39,75,77,94,76,74,47,61,93,9,3,3,5,3,3,Technical,AI-ML,Logical,0,3,No,Math,Junior ML Engineer
S0381,20,Male,84.87,99.0,68,63,49,64,97,57,73,55,5,5,4,5,3,2,Creative,Data,Creative,1,3,No,Math,Frontend Developer
S0703,19,Female,75.48,89.18,65,78,92,63,97,63,61,80,5,8,3,3,1,1,Creative,Web,Creative,4,2,No,Web,UI/UX Designer
S0357,21,Male,68.64,82.49,75,73,82,71,86,43,80,82,1,10,3,3,4,4,Creative,Web,Creative,3,3,No,Web,Frontend Developer
S0392,18,Other,69.82,67.26,54,51,85,48,81,37,51,59,2,5,1,5,1,6,Creative,Web,Creative,1,1,No,DBMS,Frontend Developer
S0489,18,Female,74.07,94.18,83,76,93,100,84,74,81,78,10,5,5,1,5,5,Technical,Web,Logical,2,2,No,DBMS,Full Stack Developer
S0785,20,Male,73.77,66.49,63,98,57,62,65,43,50,83,7,3,5,6,2,1,Technical,Web,Analytical,2,2,No,Web,Quality Assurance Tester
S0207,17,Male,95.09,81.66,74,79,88,81,74,68,52,71,7,3,6,2,5,2,Technical,AI-ML,Logical,1,3,No,Math,Junior ML Engineer
S0770,22,Male,76.59,91.33,50,47,59,74,98,59,72,83,4,9,2,5,6,6,Creative,Web,Creative,1,3,No,Web,UI/UX Designer
S0740,19,Male,84.43,94.24,54,68,62,78,98,62,97,78,6,7,4,1,4,3,Creative,Web,Creative,1,1,No,Web,UI/UX Designer
S0888,20,Female,87.26,80.84,47,64,73,65,35,89,97,78,4,3,2,10,6,3,Management,Data,Leader,0,5,Yes,Statistics,Junior Business Analyst
S0256,21,Male,81.02,69.02,98,97,90,97,46,73,80,71,1,4,10,3,4,2,Technical,AI-ML,Logical,3,4,No,Python,AI/ML Engineer Trainee
S0601,22,Female,63.49,63.05,90,69,56,71,80,80,63,95,3,3,1,5,3,8,Technical,Cloud,Logical,4,5,Yes,DBMS,Cloud Operations Engineer
S0132,17,Male,78.39,77.73,67,91,63,72,79,34,70,84,8,2,2,6,1,1,Technical,AI-ML,Logical,3,5,Yes,Math,Junior ML Engineer
S0149,20,Male,73.49,77.72,85,82,92,94,55,78,73,98,7,2,4,1,1,2,Technical,AI-ML,Logical,2,0,No,Math,Junior ML Engineer
S0950,20,Other,94.59,90.0,95,80,76,84,73,53,88,71,6,5,4,6,4,8,Technical,Cloud,Logical,1,3,No,DBMS,Junior DevOps Engineer
S0847,20,Male,66.78,93.85,94,96,59,67,37,41,89,96,8,2,3,2,4,4,Technical,Web,Analytical,1,2,Yes,Web,Quality Assurance Tester
S0163,20,Female,83.44,58.31,65,97,88,97,80,80,71,93,10,1,2,1,4,5,Technical,AI-ML,Logical,2,6,Yes,Python,Junior ML Engineer
S0306,20,Female,82.03,67.65,64,85,82,76,77,80,57,84,7,6,2,6,3,3,Technical,Web,Logical,0,0,No,Web,Junior Web Developer
S0563,19,Male,63.5,83.75,60,74,47,72,50,33,60,86,9,6,4,5,3,3,Technical,Web,Logical,0,1,No,Python,Full Stack Developer
S0865,17,Male,78.49,59.87,63,51,73,79,46,90,76,86,3,4,6,7,4,4,Management,Data,Leader,0,2,No,DBMS,Junior Business Analyst
S0104,19,Female,74.37,82.31,81,61,76,88,56,54,78,82,1,4,7,2,4,1,Analytical,Data,Analytical,1,1,No,DBMS,Associate Data Analyst
S0140,22,Male,65.25,92.78,42,54,66,65,78,67,51,81,2,5,4,6,1,5,Technical,Data,Logical,0,1,No,Math,Junior ML Engineer
S0780,22,Male,71.05,85.82,83,94,92,84,51,74,69,96,7,3,1,2,2,3,Technical,Web,Analytical,2,4,No,Python,Quality Assurance Tester
S0435,20,Male,79.43,67.66,86,82,67,95,64,53,92,87,9,5,4,1,1,2,Technical,Web,Logical,1,2,No,Python,Backend Developer
S0273,19,Male,80.22,84.46,85,74,81,91,46,71,57,70,1,4,10,1,4,3,Technical,AI-ML,Logical,0,2,No,Python,AI/ML Engineer Trainee
S0660,18,Female,94.77,82.76,92,87,76,83,38,67,56,75,6,6,4,1,8,1,Technical,Security,Logical,7,0,No,DBMS,Security Analyst Trainee
S0838,20,Other,83.34,71.32,77,68,60,82,53,75,92,93,10,6,4,1,3,4,Technical,Web,Analytical,2,1,No,Web,Quality Assurance Tester
S0778,20,Male,78.19,78.38,95,94,95,72,78,69,51,83,8,2,4,2,3,2,Technical,Web,Analytical,2,4,Yes,Web,Quality Assurance Tester
S0110,19,Male,72.52,82.53,84,65,48,63,67,32,87,75,3,2,8,4,1,5,Analytical,Data,Analytical,6,1,No,DBMS,Associate Data Analyst
S1046,19,Female,78.94,73.26,60,90,62,95,77,72,79,79,4,1,7,2,5,3,Technical,Data,Logical,3,2,No,DBMS,Database Administrator
S0683,20,Male,80.39,95.17,46,69,60,51,72,62,59,80,1,2,4,6,2,6,Technical,Web,Logical,3,3,No,Statistics,Security Analyst Trainee
S0345,18,Female,92.47,59.88,96,82,83,77,79,63,54,95,10,5,5,2,5,1,Technical,Web,Logical,1,2,No,Python,Junior Web Developer
S0230,18,Male,85.92,85.13,65,74,53,72,38,33,83,88,3,3,8,6,6,3,Technical,AI-ML,Logical,4,4,No,Math,AI/ML Engineer Trainee
S0646,19,Male,78.79,62.96,90,82,92,72,41,79,56,86,5,2,2,3,8,3,Technical,Security,Logical,2,1,No,DBMS,Security Analyst Trainee
S0227,18,Female,81.48,95.59,99,80,82,98,68,72,59,84,4,6,10,3,4,3,Technical,AI-ML,Logical,1,0,Yes,Math,AI/ML Engineer Trainee
S0195,23,Female,81.88,72.32,89,100,63,97,69,41,69,81,7,1,2,2,2,1,Technical,AI-ML,Logical,4,2,No,Math,Junior ML Engineer
S0908,17,Male,84.32,77.99,68,71,96,61,45,95,83,53,4,3,5,10,4,3,Management,Data,Leader,2,3,No,DBMS,Junior Business Analyst
S0938,19,Female,84.54,85.99,98,99,86,86,40,73,65,76,5,5,6,1,5,7,Technical,Cloud,Logical,3,2,Yes,DBMS,Junior DevOps Engineer
S0621,17,Male,82.87,80.27,88,82,46,98,57,37,71,100,6,1,5,6,4,10,Technical,Cloud,Logical,2,0,Yes,Python,Cloud Operations Engineer
S0844,17,Male,67.68,71.89,87,92,72,83,65,56,53,96,8,1,6,2,5,5,Technical,Web,Analytical,1,3,No,Python,Quality Assurance Tester
S0469,19,Male,82.48,86.87,81,88,92,86,49,55,97,78,10,2,3,2,1,5,Technical,Web,Logical,1,2,Yes,DBMS,Backend Developer
S0505,20,Female,87.95,75.78,76,95,58,94,60,39,71,83,9,6,1,6,5,2,Technical,Web,Logical,1,3,No,Web,Full Stack Developer
S0546,19,Female,65.7,72.32,74,87,55,80,85,41,72,87,9,5,3,5,5,3,Technical,Web,Logical,5,1,Yes,Python,Full Stack Developer
S0704,20,Female,86.03,86.75,66,54,58,63,80,55,86,55,5,9,1,1,2,2,Creative,Web,Creative,3,5,Yes,Web,UI/UX Designer
S1013,17,Male,80.75,75.1,89,93,47,85,49,66,58,76,5,2,8,6,1,1,Technical,Data,Logical,3,4,No,DBMS,Database Administrator
S0069,21,Female,79.61,91.6,80,63,61,62,85,64,68,74,4,2,7,3,3,3,Analytical,Data,Analytical,3,2,No,Statistics,Associate Data Analyst
S0065,18,Other,84.85,77.51,74,47,52,74,59,33,60,83,4,2,9,6,6,5,Analytical,Data,Analytical,0,4,No,Statistics,Associate Data Analyst
S0426,21,Male,73.3,78.56,84,86,95,82,48,59,54,86,10,2,2,5,3,6,Technical,Web,Logical,3,3,No,Python,Backend Developer
S0492,17,Female,81.92,74.31,84,72,79,80,51,33,59,90,7,3,6,3,3,1,Technical,Web,Logical,3,1,No,Python,Full Stack Developer
S0732,19,Female,80.82,77.51,61,60,75,56,93,61,76,67,4,9,4,5,3,1,Creative,Web,Creative,1,3,No,Web,UI/UX Designer
S0735,18,Female,76.88,81.53,56,53,52,67,77,55,93,78,2,10,4,3,1,5,Creative,Web,Creative,2,3,No,Web,UI/UX Designer
S0440,19,Male,76.45,90.55,93,69,80,98,44,68,90,84,10,1,6,6,6,1,Technical,Web,Logical,2,3,Yes,DBMS,Backend Developer
S0343,24,Male,87.15,66.08,65,98,87,90,64,34,72,89,7,4,1,2,4,3,Technical,Web,Logical,2,1,No,Web,Junior Web Developer
S0806,21,Female,75.35,87.49,95,84,58,82,35,37,85,91,10,1,4,1,5,3,Technical,Web,Analytical,2,2,No,Python,Quality Assurance Tester
S0942,18,Male,81.35,75.83,92,78,73,99,67,47,99,71,5,6,5,6,1,10,Technical,Cloud,Logical,2,4,No,Python,Junior DevOps Engineer
S0153,19,Male,75.19,69.97,76,92,61,72,55,76,81,94,7,1,1,3,3,5,Technical,AI-ML,Logical,4,1,Yes,Math,Junior ML Engineer
